PhotonEnergy[MeV]	CoherentScattering[cm^2/g]	IncoherentScattering[cm^2/g]	PhotoelectricAbsorption[cm^2/g]	PairProductionNuclear[cm^2/g]	PairProductionElectron[cm^2/g]	TotalWithCoherent[cm^2/g]	TotalWithoutCoherent[cm^2/g]
1.000E-03	8.457E-01	9.013E-03	2.108E+03	0.000E+00	0.000E+00	2.109E+03	2.108E+03
1.500E-03	7.908E-01	1.885E-02	7.309E+02	0.000E+00	0.000E+00	7.317E+02	7.309E+02
2.000E-03	7.254E-01	3.067E-02	3.324E+02	0.000E+00	0.000E+00	3.332E+02	3.324E+02
3.000E-03	5.880E-01	5.584E-02	1.052E+02	0.000E+00	0.000E+00	1.059E+02	1.053E+02
4.000E-03	4.667E-01	7.868E-02	4.545E+01	0.000E+00	0.000E+00	4.600E+01	4.553E+01
5.000E-03	3.711E-01	9.736E-02	2.342E+01	0.000E+00	0.000E+00	2.388E+01	2.351E+01
6.000E-03	2.992E-01	1.120E-01	1.353E+01	0.000E+00	0.000E+00	1.394E+01	1.364E+01
8.000E-03	2.051E-01	1.319E-01	5.620E+00	0.000E+00	0.000E+00	5.957E+00	5.752E+00
1.000E-02	1.499E-01	1.439E-01	2.819E+00	0.000E+00	0.000E+00	3.113E+00	2.963E+00
1.500E-02	8.296E-02	1.582E-01	7.893E-01	0.000E+00	0.000E+00	1.030E+00	9.475E-01
2.000E-02	5.361E-02	1.637E-01	3.157E-01	0.000E+00	0.000E+00	5.330E-01	4.794E-01
3.000E-02	2.778E-02	1.661E-01	8.538E-02	0.000E+00	0.000E+00	2.793E-01	2.515E-01
4.000E-02	1.686E-02	1.645E-01	3.346E-02	0.000E+00	0.000E+00	2.148E-01	1.979E-01
5.000E-02	1.129E-02	1.615E-01	1.612E-02	0.000E+00	0.000E+00	1.889E-01	1.776E-01
6.000E-02	8.077E-03	1.580E-01	8.854E-03	0.000E+00	0.000E+00	1.749E-01	1.669E-01
8.000E-02	4.718E-03	1.510E-01	3.436E-03	0.000E+00	0.000E+00	1.591E-01	1.544E-01
1.000E-01	3.084E-03	1.444E-01	1.650E-03	0.000E+00	0.000E+00	1.491E-01	1.460E-01
1.500E-01	1.406E-03	1.305E-01	4.385E-04	0.000E+00	0.000E+00	1.324E-01	1.310E-01
2.000E-01	7.985E-04	1.198E-01	1.737E-04	0.000E+00	0.000E+00	1.208E-01	1.200E-01
3.000E-01	3.576E-04	1.043E-01	4.922E-05	0.000E+00	0.000E+00	1.047E-01	1.044E-01
4.000E-01	2.017E-04	9.354E-02	2.112E-05	0.000E+00	0.000E+00	9.376E-02	9.356E-02
5.000E-01	1.292E-04	8.544E-02	1.139E-05	0.000E+00	0.000E+00	8.558E-02	8.545E-02
6.000E-01	8.980E-05	7.905E-02	7.096E-06	0.000E+00	0.000E+00	7.915E-02	7.906E-02
8.000E-01	5.055E-05	6.946E-02	3.582E-06	0.000E+00	0.000E+00	6.952E-02	6.947E-02
1.000E+00	3.236E-05	6.246E-02	2.227E-06	0.000E+00	0.000E+00	6.250E-02	6.247E-02
1.022E+00	3.098E-05	6.180E-02	2.083E-06	0.000E+00	0.000E+00	6.184E-02	6.180E-02
1.250E+00	2.071E-05	5.585E-02	1.413E-06	1.073E-05	0.000E+00	5.588E-02	5.586E-02
1.500E+00	1.438E-05	5.077E-02	1.025E-06	5.963E-05	0.000E+00	5.084E-02	5.083E-02
2.000E+00	8.093E-06	4.332E-02	6.439E-07	2.379E-04	0.000E+00	4.356E-02	4.356E-02
2.044E+00	7.749E-06	4.279E-02	6.228E-07	2.565E-04	0.000E+00	4.305E-02	4.304E-02
3.000E+00	3.598E-06	3.409E-02	3.590E-07	6.812E-04	1.192E-05	3.478E-02	3.478E-02
4.000E+00	2.024E-06	2.843E-02	2.461E-07	1.105E-03	4.869E-05	2.958E-02	2.958E-02
5.000E+00	1.295E-06	2.455E-02	1.865E-07	1.483E-03	9.700E-05	2.614E-02	2.613E-02
6.000E+00	8.994E-07	2.170E-02	1.499E-07	1.823E-03	1.490E-04	2.368E-02	2.367E-02
7.000E+00	6.608E-07	1.950E-02	1.252E-07	2.126E-03	2.009E-04	2.183E-02	2.183E-02
8.000E+00	5.059E-07	1.775E-02	1.074E-07	2.398E-03	2.513E-04	2.040E-02	2.040E-02
9.000E+00	3.997E-07	1.631E-02	9.397E-08	2.645E-03	2.996E-04	1.926E-02	1.926E-02
1.000E+01	3.238E-07	1.512E-02	8.354E-08	2.870E-03	3.456E-04	1.833E-02	1.833E-02
1.100E+01	2.676E-07	1.410E-02	7.517E-08	3.075E-03	3.894E-04	1.756E-02	1.756E-02
1.200E+01	2.248E-07	1.322E-02	6.832E-08	3.263E-03	4.306E-04	1.692E-02	1.692E-02
1.300E+01	1.916E-07	1.246E-02	6.261E-08	3.437E-03	4.697E-04	1.636E-02	1.636E-02
1.400E+01	1.652E-07	1.178E-02	5.778E-08	3.599E-03	5.071E-04	1.589E-02	1.589E-02
1.500E+01	1.439E-07	1.119E-02	5.363E-08	3.752E-03	5.425E-04	1.548E-02	1.548E-02
1.600E+01	1.265E-07	1.065E-02	5.005E-08	3.894E-03	5.762E-04	1.513E-02	1.512E-02
1.800E+01	9.993E-08	9.738E-03	4.414E-08	4.157E-03	6.392E-04	1.454E-02	1.454E-02
2.000E+01	8.094E-08	8.980E-03	3.947E-08	4.393E-03	6.968E-04	1.407E-02	1.407E-02
2.200E+01	6.689E-08	8.341E-03	3.569E-08	4.607E-03	7.499E-04	1.370E-02	1.370E-02
2.400E+01	5.621E-08	7.794E-03	3.258E-08	4.802E-03	7.991E-04	1.340E-02	1.340E-02
2.600E+01	4.790E-08	7.319E-03	2.996E-08	4.982E-03	8.447E-04	1.315E-02	1.315E-02
2.800E+01	4.130E-08	6.905E-03	2.773E-08	5.147E-03	8.874E-04	1.294E-02	1.294E-02
3.000E+01	3.598E-08	6.538E-03	2.581E-08	5.301E-03	9.273E-04	1.277E-02	1.277E-02
4.000E+01	2.024E-08	5.195E-03	1.917E-08	5.934E-03	1.096E-03	1.222E-02	1.222E-02
5.000E+01	1.295E-08	4.337E-03	1.525E-08	6.416E-03	1.228E-03	1.198E-02	1.198E-02
6.000E+01	8.994E-09	3.737E-03	1.266E-08	6.800E-03	1.336E-03	1.187E-02	1.187E-02
8.000E+01	5.059E-09	2.946E-03	9.446E-09	7.379E-03	1.505E-03	1.183E-02	1.183E-02
1.000E+02	3.237E-09	2.446E-03	7.535E-09	7.804E-03	1.633E-03	1.188E-02	1.188E-02
1.500E+02	1.438E-09	1.742E-03	5.004E-09	8.504E-03	1.856E-03	1.210E-02	1.210E-02
2.000E+02	8.093E-10	1.366E-03	3.746E-09	8.934E-03	2.003E-03	1.230E-02	1.230E-02
3.000E+02	3.597E-10	9.679E-04	2.492E-09	9.445E-03	2.191E-03	1.260E-02	1.260E-02
4.000E+02	2.023E-10	7.580E-04	1.867E-09	9.743E-03	2.307E-03	1.281E-02	1.281E-02
5.000E+02	1.295E-10	6.275E-04	1.493E-09	9.940E-03	2.387E-03	1.295E-02	1.295E-02
6.000E+02	8.993E-11	5.372E-04	1.244E-09	1.008E-02	2.447E-03	1.307E-02	1.307E-02
8.000E+02	5.058E-11	4.196E-04	9.322E-10	1.027E-02	2.530E-03	1.322E-02	1.322E-02
1.000E+03	3.237E-11	3.451E-04	7.455E-10	1.040E-02	2.586E-03	1.333E-02	1.333E-02
1.500E+03	1.438E-11	2.411E-04	4.968E-10	1.058E-02	2.670E-03	1.349E-02	1.349E-02
2.000E+03	8.093E-12	1.866E-04	3.725E-10	1.067E-02	2.717E-03	1.358E-02	1.358E-02
3.000E+03	3.597E-12	1.297E-04	2.484E-10	1.078E-02	2.769E-03	1.368E-02	1.368E-02
4.000E+03	2.023E-12	1.001E-04	1.862E-10	1.084E-02	2.799E-03	1.374E-02	1.374E-02
5.000E+03	1.295E-12	8.189E-05	1.490E-10	1.088E-02	2.817E-03	1.378E-02	1.378E-02
6.000E+03	8.993E-13	6.944E-05	1.242E-10	1.090E-02	2.831E-03	1.380E-02	1.380E-02
8.000E+03	5.058E-13	5.350E-05	9.309E-11	1.093E-02	2.849E-03	1.384E-02	1.384E-02
1.000E+04	3.237E-13	4.367E-05	7.448E-11	1.096E-02	2.860E-03	1.386E-02	1.386E-02
1.500E+04	1.438E-13	3.019E-05	4.965E-11	1.098E-02	2.875E-03	1.389E-02	1.389E-02
2.000E+04	8.093E-14	2.321E-05	3.723E-11	1.100E-02	2.883E-03	1.391E-02	1.391E-02
3.000E+04	3.597E-14	1.600E-05	2.482E-11	1.102E-02	2.891E-03	1.392E-02	1.392E-02
4.000E+04	2.023E-14	1.229E-05	1.862E-11	1.102E-02	2.897E-03	1.393E-02	1.393E-02
5.000E+04	1.295E-14	1.001E-05	1.490E-11	1.103E-02	2.901E-03	1.394E-02	1.394E-02
6.000E+04	8.993E-15	8.458E-06	1.241E-11	1.103E-02	2.902E-03	1.394E-02	1.394E-02
8.000E+04	5.058E-15	6.485E-06	9.308E-12	1.104E-02	2.905E-03	1.395E-02	1.395E-02
